id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
10902	hh											l
10903	lh											l
10904	lh											l
10905	llh											l
10906	lh											l
10907	hh			hh'	hhl'	hl'h	hll'	hlh'				l
10908	hh			hh'		hl'h	hll'	hlh'				l
10909	hh											l
1091	llh			llh'	llhl'	llh'h	llhl'	llhh'				l
10910	llh											l
10911	lh											l
10912	lh											l
10913	h			h'	hl'	l'h	ll'	lh'				l
10914	llh											l
10915	lh			lh'		ll'h	lll'	llh'				l
10916	lhh											l
10917	lhhh											l
10918	lhl											l
10919	lll			lll'	llll'	lllh'	llll'	llh'				l
1092	lll											l
10920	llll											l
10921	lll			llh'					lh'		lhh'	l
10922	llh											l
10923	lh											l
