id	lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
19529	sapsız	y	y	sapsɯ'z	sapsɯzdʒɯ'	sapsɯ'zɯm	sapsɯzɯ'	sapsɯzɯ'm				l
1953	balgam	y	y	baɫga'm	baɫgamdʒɯ'	baɫga'mɯm	baɫgamɯ'	baɫgamɯ'm				l
19530	saptama	y	y	saptama'					sapta'ɾ	saptama'k	saptatɯ'ɾ	l
19531	saptırılmak	y	y	saptɯɾɯɫma'k					saptɯɾɯɫɯ'ɾ		saptɯɾɯɫtɯ'ɾ	l
19532	saptırmak	y	y	saptɯɾma'k					saptɯɾɯ'ɾ		saptɯɾtɯ'ɾ	l
19533	sar'a	y	n	sa:ɾa' ~ saɾa:'	saɾa:dʒɯ'	saɾa:'jɯm	sa:ɾajɯ'	saɾa:'m				l
19534	sara	y	y	sa:ɾa:'	sa:ɾa:dʒɯ'	sa:ɾa:'jɯm	sa:ɾa:jɯ'	sa:ɾa:'m				l
19535	sarac	y	y	saɾatʃ	saɾatʃtʃɯ'	saɾa'dʒɯm	saɾadʒɯ'	saɾadʒɯ'm				l
19536	saraç	y	y	saɾatʃ	saɾatʃtʃɯ'	saɾa'dʒɯm	saɾadʒɯ'	saɾadʒɯ'm				l
19537	sarahat	y	y	saɾaha't	saɾahattʃi'	saɾaha'tim	saɾahati'	saɾahati'm				l
19538	sarak	n	n									l
19539	saraka	y	y	saɾaka'	saɾakadʒɯ'	saɾaka'jɯm	saɾakajɯ'	saɾaka'm				l
1954	balgamlamak	y	y	baɫgamɫama'k					baɫgamɫa'ɾ		baɫgamɫatɯ'ɾ	l
19540	saralı	y	y	saɾaɫɯ'	saɾaɫɯdʒɯ'	saɾaɫɯ'jɯm	saɾaɫɯjɯ'	saɾaɫɯ'm				l
19541	sararmak	y	y	saɾaɾma'k					saɾaɾɯ'ɾ		saɾaɾtɯ'ɾ	l
19542	sarasker	y	y	se'ɾaskeɾ	se'ɾaskeɾdʒi	se'ɾaskeɾim	se'ɾaskeɾi	se'ɾaskeɾim				l
19543	saray	y	y	saɾa'j	saɾajdʒɯ'	saɾa'jɯm	saɾajɯ'	saɾajɯ'm				l
19544	sardalya	y	y	saɾdaɫja'	saɾdaɫjadʒɯ'	saɾdaɫja'jɯm	saɾdaɫjajɯ'	saɾdaɫja'm				l
19545	sardalye	y	y	saɾdaɫja'	saɾdaɫjadʒɯ'	saɾdaɫja'jɯm	saɾdaɫjajɯ'	saɾdaɫja'm				l
19546	sardırmak	y	y	saɾdɯɾma'k					saɾdɯɾɯ'ɾ		saɾdɯɾtɯ'ɾ	l
19547	sardoğan	n	n									l
19548	sardun	n	n									l
1955	balgümeci	y	y	ba'ɫgymedʒi	ba'ɫgymetʃtʃi	ba'ɫgymedʒijim	ba'ɫgymedʒini	ba'ɫgymedʒim				l
19550	sarf	y	y	sa'ɾf	saɾftʃɯ'	sa'ɾfɯm	saɾfɯ'	saɾfɯ'm				l
19551	sarfınazar	y	y	saɾfɯ'nazaɾ	saɾfɯ'nazaɾdʒɯ	saɾfɯ'nazaɾɯm	saɾfɯ'nazaɾɯ	saɾfɯ'nazaɾɯm				l
19552	sarfinazar	y	y	saɾfɯnaza'ɾ	saɾfɯnazaɾdʒɯ'	saɾfɯnaza'ɾɯm	saɾfɯnazaɾɯ'	saɾfɯnazaɾɯ'm				l
19553	sargı	y	y	saɾgɯ'	saɾgɯdʒɯ'	saɾgɯ'jɯm	saɾgɯjɯ'	saɾgɯ'm				l
19554	sarhoş	y	y	saɾhoʃ	saɾhoʃtʃu'	saɾho'ʃum	saɾhoʃu'	saɾhoʃu'm				l
19555	sari	y	y	sa:ɾi:'	sa:ɾi:dʒi'	sa:ɾi:'jim	sa:ɾi:ji'	sa:ɾi:'m				l
19556	sarı	y	y	saɾɯ'	saɾɯdʒɯ'	saɾɯ'jɯm	saɾɯjɯ'	saɾɯ'm				l
19557	sarıağız	y	n	saɾɯ'aɯz		saɾɯ'aɯzɯm	saɾɯ'aɯzɯ	saɾɯ'aɯzdʒɯ				l
19558	sarığıburma	y	y	saɾɯɯbuɾma'	saɾɯɯbuɾmadʒɯ'	saɾɯɯbuɾmajɯ'm	saɾɯɯbuɾmajɯ'	saɾɯɯbuɾma'm				l
19559	sarık	y	y	saɾɯ'k	saɾɯktʃɯ'	saɾɯ'ɯm	saɾɯɯ'	saɾɯɯ'm				l
1956	balık	y	y	baɫɯ'k	baɫɯktʃɯ'	baɫɯ'ɯm	baɫɯɯ'	baɫɯɯ'm				l
19560	sarıkanad	y	y	saɾɯ'kanat	saɾɯ'kanattʃɯ	saɾɯ'kanadɯm	saɾɯ'kanadɯ	saɾɯ'kanadɯm				l
19561	sarıkanat	y	y	saɾɯ'kanat	saɾɯ'kanattʃɯ	saɾɯ'kanatɯm	saɾɯ'kanatɯ	saɾɯ'kanatɯm				l
19562	sarılgan	y	y	saɾɯɫga'n	saɾɯɫgandʒɯ'	saɾɯɫga'nɯm	saɾɯɫganɯ'	saɾɯɫganɯ'm				l
19563	sarılı	y	y	saɾɯɫɯ'	saɾɯɫɯdʒɯ'	saɾɯɫɯ'jɯm	saɾɯɫɯjɯ'	saɾɯɫɯ'm				l
19564	sarılmak	y	y	saɾɯɫma'k					saɾɯɫɯ'ɾ		saɾɯɫtɯ'ɾ	l
19565	sarım	y	y	saɾɯ'm	saɾɯmdʒɯ'	saɾɯ'mɯm	saɾɯmɯ'	saɾɯmɯ'm				l
19566	sarımsak	y	y	saɾɯmsa'k	saɾɯmsaktʃɯ'	saɾɯmsa'ɯm	saɾɯmsaɯ'	saɾɯmsaɯ'm				l
19567	sarımsı	y	y	saɾɯmsɯ'	saɾɯmsɯdʒɯ'	saɾɯmsɯ'jɯm	saɾɯmsɯjɯ'	saɾɯmsɯ'm				l
19568	sarınmak	y	y	saɾɯnma'k					saɾɯnɯ'ɾ		saɾɯndɯɾɯ'ɾ	l
1957	balıkadam	y	y	baɫɯ'kadam	baɫɯ'kadamdʒɯ	baɫɯ'kadamɯm	baɫɯ'kadamɯ	baɫɯ'kadamɯm				l
19570	sarışın	y	y	saɾɯʃɯ'n	saɾɯʃɯndʒɯ'	saɾɯʃɯ'nɯm	saɾɯʃɯnɯ'	saɾɯʃɯnɯ'm				l
19571	sarısabır	n	n									l
19572	sarısalkım	y	y	saɾɯ'saɫkɯm	saɾɯ'saɫkɯmdʒɯ	saɾɯ'saɫkɯmɯm	saɾɯ'saɫkɯmɯ	saɾɯ'saɫkɯmɯm				l
19573	sarig	n	n									l
19574	sarih	y	y	saɾi'h	saɾihtʃi'	saɾi'him	saɾi'h	saɾihi'm				l
19575	sarik	y	y	saɾɯ'k	saɾɯktʃɯ'	saɾɯ'ɯm	saɾɯɯ'	saɾɯɯ'm				l
19576	sarkaç	y	n	saɾkatʃ	saɾkatʃtʃɯ'	saɾka'tʃɯm	saɾkatʃɯ'	saɾkatʃɯ'm				l
19577	sarkık	y	y	saɾkɯ'k	saɾkɯktʃɯ'	saɾkɯ'ɯm	saɾkɯɯ'	saɾkɯɯ'm				l
